macro,component,selected_connection,unsigned_hash,lexical_index,endpoint_count,graph_fingerprint,existing_semantic_case,geometry_status
turret_arg_l_beam_01_mk1_macro,turret_arg_l_beam_01_mk1,con_laser_02,0xc9442e72bbe5380,2,2,fd6779a4154d8684c0c5d0d2cee85be8e4c3b98fb0b9bfb7eef507bc50385bb5,,general composition unresolved
turret_arg_l_laser_01_mk1_macro,turret_arg_l_laser_01_mk1,con_laser_02,0xc9442e72bbe5380,2,2,cc77fc8f9e97bfb4472bdce9338dfebf2412d82fbaa9924a9eb917bd2dc6797f,,general composition unresolved
turret_arg_l_plasma_01_mk1_macro,turret_arg_l_plasma_01_mk1,con_laser_02,0xc9442e72bbe5380,2,2,3b391e74e44c64a58658c3a3cbef88e487c7ce668877be6e99bffa40ea9cb657,,general composition unresolved
turret_arg_m_beam_01_mk1_macro,turret_arg_m_beam_01_mk1,con_beam_02,0x5836806a11999f04,2,2,4d57250316edd543010db2a92b4dd03f6353dc0a0bc950dde42216afbda31d6b,,general composition unresolved
turret_arg_m_beam_02_mk1_macro,turret_arg_m_beam_02_mk1,con_beam_02,0x5836806a11999f04,2,2,bbb03998013a15435731f353ba070e986daa984746e8c46fc4a9d3035be3cb8f,depth4_one_key_barrel_translation,existing bounded composition; not blanket LIVE acceptance
turret_arg_m_flak_01_mk1_macro,turret_arg_m_flak_01_mk1,con_standard_003,0x28d3061ecfc4fb,1,4,379657b726092d4fe4fbac8c79b5c91dc186b8909222b182377236e0664a660e,,general composition unresolved
turret_arg_m_flak_02_mk1_macro,turret_arg_m_flak_02_mk1,con_standard_003,0x28d3061ecfc4fb,1,4,c31c231e34cfcfc8e89ca718825932c4ab5ee7b9952d43c8ba6ef9ffa82e1728,,general composition unresolved
turret_arg_m_gatling_01_mk1_macro,turret_arg_m_gatling_01_mk1,con_heavy_004,0xd036b5ac8b234172,4,5,ed0b9dcfbae93501fbba9ac02f09fce432a346b2c35e85ba14a5761928658df3,,general composition unresolved
turret_arg_m_gatling_02_mk1_macro,turret_arg_m_gatling_02_mk1,con_heavy_004,0xd036b5ac8b234172,4,5,9b1bab2a2f72a53ea522d55900bbe9299a823f097e44afaab7e70a81dbef70be,,general composition unresolved
turret_arg_m_laser_01_mk1_macro,turret_arg_m_laser_01_mk1,con_laser_02,0xc9442e72bbe5380,2,2,f89524a42eff0ec42dce121aa7404e526ec44d5b49fc587167a1e352478c4434,,general composition unresolved
